time,places,tweet
2023-03-15 09:22:28,,"@Eversoul_EN Fix fps issue also heavy battery drain while playing
Ipad game still crash as usual these issue will it be fixed or not I think I have waited patiently enough that I'm losing my patience now devs it seems u guys not seem to fix these ? 🤨"
2023-03-15 09:17:50,select EU regions/MENA/LATAM,"@Jinroh2015 @Eversoul_EN We are currently investigating this issue🔍. And we've found that this can be resolved for some devices by reinstalling the game. Please try it first🙏. If the issue continues, please contact our customer support for help.🥺"
2023-03-15 09:10:24,,"@MrInvis178 @zaziebetz Hello Saviors,

If you are still experiencing performance issues please send a ticket specifying your device details to our support via this link: https://t.co/Uq125ozNzV

Thank you! ❤️"
2023-03-15 09:08:38,,"@blisseyqueen Hello Annabelle,

If you are still experiencing performance issues please send a ticket specifying your device details to our support via this link: https://t.co/Uq125ozNzV
Thank you! ❤️"
2023-03-15 08:59:11,,@Eversoul_EN Summon spending saved up as usual.
2023-03-15 08:55:39,,"@UnoNight Impressive unonight, 🤩 keep it going!"
2023-03-15 08:54:05,,"We will be conducting regular maintenance on March 16, 2023 (UTC).

During this time, Eversoul will be temporarily unavailable:

📢 Maintenance Schedule⁠:
Start: March 16, 00:00 (UTC)
End: March 16, 02:00 (UTC)

Please check all the details here: https://t.co/puy4sj0CbD https://t.co/545sihGcXi"
2023-03-15 08:51:40,,"@zaziebetz Hello Savior,

If you are experiencing performance issues please send a ticket specifying your device details to our support via this link: https://t.co/Uq125ozNzV
Thank you! ❤️"
2023-03-15 08:31:03,Val-de-marne,@sfduelgame Well well if you become as @Eversoul_EN with the freeze screen is not good for us and you... https://t.co/lFsfc5bZZ6
2023-03-15 06:30:14,,@Eversoul_EN The new minigame event are really not friendly.. constant drop of fps.. trash ui.. can't even dodge after being surrounded by many mobs..crash😌
2023-03-15 01:37:46,,@Eversoul_EN So is this update tomorrow night in NA EST? Cause they're ahead of us?
2023-03-15 01:30:10,,"Can she replace my Linzy tho? Only one way to find out
#Eversoul #Aki #Humanlike https://t.co/tsFuusF3ds"
2023-03-14 23:21:48,London,@RickoSuaveEth @EverSoul_ Great resource 💪
2023-03-14 23:21:32,"Whittier, CA","@RickoSuaveEth Yessir, these volatile moves aren’t “random” ! Appreciate you fam!"
2023-03-14 23:20:24,"Los Angeles, CA","Lots of people in web3 arent aware of big catalysts for volume such as the monthly CPI report. shoutout @EverSoul_ for bringing this to my attention a while back. highly suggest bookmarking this link

https://t.co/GtZ5NvN7HI"
2023-03-14 22:40:49,"Whittier, CA","@Edge0x @Expedition_Labs Love to see it fam!! It's all about living through these times and learning through them! Next time this happens, we'll be even more ready!"
2023-03-15 22:13:31,,Oof gunna take a bit to get there lol #eversoul https://t.co/pgQPXuhItn
2023-03-15 18:19:44,"Norwich, CT","Eversoul; Event Story: Spring Blooming In Your Heart, Episode 4: Spring ... https://t.co/RuHIC1MGey via @YouTube"
2023-03-15 17:03:39,Iraq,@Eversoul_EN My gems are ready...
2023-03-15 17:02:33,In the Wulfden,I’m always impressed with how well the community can come together to tell me how wrong I am 😭 if we could all come together this quickly on other stuff the world would be an amazing place Lmao! GGs y’all win this time @Eversoul_EN #Eversoul https://t.co/2AYdrHe1jT https://t.co/0v6QC18Rvl
2023-03-15 16:15:13,Romania,@AgonistKira @Eversoul_EN Unfortunately they're more of a collect and forget type of characters. Can barely use Origin normal characters because they still get 1shot in Guild Raid so unless you got at least Legendary+ they'd not be very useful.
