time,places,tweet
2023-02-17 15:09:37,,(hrk*   I am so sorry about this.         #莆田   #辽源  #重庆    https://t.co/yUJpyOXRrl
2023-02-18 05:17:15,Canton & Hong Kong,@Blue_Footy So 16xG in 13 games is high enough...?
2023-02-18 04:15:11,"Knoxville, TN","Broke: Man, HRK got something wrong

Wokr: Being wrong doesn't matter when the main point is making all these characters fuckable https://t.co/5ThvksPZzh"
2023-02-18 04:00:55,India,"@keshwani_hitesh Hi HRK,
If you have unresolved query with us kindly DM us your contact details so that we can assist you in the best possible way.
  https://t.co/ul0bBLDNJr"
2023-02-18 03:50:49,"Knoxville, TN","@Anonimo79930467 @happyroadkill To be fair, HRK isn't the biggest fan of the Democratic party rn so I'm pretty sure he knows who's to blame for the union busting.

Also, I don't know much about trains, but from what I've heard, it never seemed to be regulated in the first place."
2023-02-18 03:50:06,hundred acre wood,how long have i been stanning girl groups... almost 9 years? it's not a phase. it's a lifestyle.
2023-02-18 01:38:51,India,"HRK Blocks for Kids House Construction Building Blocks for Boys with Windows Toy Set, House Building Blocks Set Educational Construction Toy Puzzles Learning Activity Game for Kids Toys for Boys, Girls, Children Toys for 2,3,4,5,6,7,8 Years (50 PCS Ho...
https://t.co/oWNG4528nr"
2023-02-18 00:35:25,,Just mint this hoodie!?? @ban_nft @Balca7nft @dreamsll_tez @Suyoung_Ji @kiko0477 @wang_fren @hrk_far @Kantusaa @DroidGeisha @SpecterXNFT https://t.co/f67oG4LwlV
2023-02-17 22:28:04,I YE EENEN ❤️ic c_joy05,you know what he sounds like when he breathes Thats how i breathe when hrk
2023-02-17 22:26:19,I YE EENEN ❤️ic c_joy05,i start wheezing like kau when i see hrk
2023-02-17 22:10:12,Go Pro Be A Hero,GoPro: Surfing Iceland: https://t.co/yAaGIugvTx
2023-02-17 19:15:12,,🍬: ...Hrk! A-A-A-Asahina.... H-Hello! What pleasant weather we're having today! Um... Er...
2023-02-17 19:15:05,,💫: (Hrk... I've got to buy more time.)
2023-02-17 18:46:20,,@happyroadkill Great to see another HRK comic.
2023-02-17 18:00:25,posts may repeat!!,"❄️: Hello, Otori. You seem to be skipping in high spirits. 
 🍬: Yup ♪ I won a prize with a snack I bought...Hrk!!"
2023-02-17 17:46:39,"Kilgore, TX",This is epic.. @ffgg0111 @singhprabhjot00 @MitohondryN @OElujulo @Licapom @HeinHte16422005 @hrk_nft @Stanley29962530 @lingwan17014372 @dudi_tushar @KPREMC1 @NgmiBillz @AlexandruBaisan @perkypigeons_ https://t.co/I4Sog4qrve
2023-02-17 17:34:54,"Guaratuba, Brasil",@_luucasseduardo Sorry
2023-02-17 16:53:39,hundred acre wood,days with no alarms &gt;&gt;
2023-02-17 16:53:10,hundred acre wood,removing navigation buttons for the full screen experience on my samsung. suddenly it's very slippery to use welp
2023-02-17 15:52:09,hundred acre wood,if oreo taste good why oreo break me out https://t.co/yCNYug15P2
2023-02-17 15:13:00,,"@ceefaxisbetter @almajir If we're playing covers top trumps then I'm laying this card down

https://t.co/rnS8sPua4W"
2023-02-17 15:09:37,,(hrk*   I am so sorry about this.         #莆田   #辽源  #重庆    https://t.co/yUJpyOXRrl
2023-02-17 12:18:36,,@eo4w9 paypay
2023-02-17 12:14:04,,"@PlayStation what’s going up with official store in Croatia, 2 months later and it’s still not moved from HRK to EUR. I can’t buy any game!! Xbox moved it in a couple of days."
2023-02-17 12:00:27,posts may repeat!!,🍬: ...Hrk! A-A-A-Asahina.... H-Hello! What pleasant weather we're having today! Um... Er...
2023-02-17 11:13:42,,"2023 #LJL Spring Regular Season, Week 4 Day 1

Starting for @Sengoku_Gaming (4-0)

eguto*
Once
Jett
LokeN
Enty

Starting for @V3EsportsJP (0-4)

Washidai
HRK
Acee
dresscode
hetel

*eguto's debut in LJL"
2023-02-17 10:11:55,"Dhaka, Bangladesh","Time is a very important thing.  Everyone waits for time but time waits for no one.
#HRK https://t.co/3zoTB9ufar"
2023-02-17 09:10:19,Go Pro Be A Hero,GoPro: Surfing Iceland: https://t.co/yAaGIugvTx
2023-02-17 08:42:00,Nuremberg,Jacobus Bracker @HRK_aktuell on higher education and sustainability at Nuremberg University of Music - inspiring https://t.co/PsdrgHKFU2
2023-02-17 08:11:01,Warwickshire,The latest issue of our climate change and sustainability newsletter will be going out later today. You can sign-up here: https://t.co/T8gTGcbe11 https://t.co/Hg9k7Hzs76
2023-02-17 07:11:11,United States,"@ZZ34lis @sarpapak81 @dmt_hrk I ordered some microdosing  trips from reece_delics on Instagram I was watching game of thrones, I was tripping out asf any time I see the night walkers and was asking why it took em 200 yrs to get to the seven kindoms 😂😅"
2023-02-17 05:39:21,,@Maya_Odyssey I WAS EXPECTING TO USE UP ALL 13K OF GEMS THAT I SAVED UP
2023-02-17 05:38:46,,@zaphirite its to rival how much of a sweet bbg he is
2023-02-17 05:15:24,,🍬: ...Hrk! A-A-A-Asahina.... H-Hello! What pleasant weather we're having today! Um... Er...
2023-02-17 04:49:24,shetheystar,@Xousteau__ HRK IS JUST LIKE ME FR MINUS THE MURDERING AND KILLING PART
2023-02-17 01:49:51,,I LOVE THIS HOODIE @KAWAIICAT_NFT @hrk_far @josh_ladner @rahung @colon3lll @idontgifafuc @lakldjf @Rodent_whistle @malikmibukhan https://t.co/tei8jTMdNZ
2023-02-17 00:55:52,,@hrk_700moon WHT THE FUXKIWJSISISC KAITO NEVER COMES HOME
2023-02-17 00:53:17,27+ | She/Her | acepan,@hrk_700moon The amount of ice cream in this image is ridiculous
2023-02-17 00:51:19,,why do i have better luck getting kaito in 20 pulls and not akito's 🤬🤬🤬 https://t.co/DBSSmubiHC
2023-02-17 00:34:19,Torna,You...believe you know the reason we exist? Hrk-!
2023-02-17 00:23:55,"Melbourne, Victoria","@LandmineSniffer watching/listening right now..
https://t.co/JhbfNnbatt"
2023-02-17 00:11:44,k'un-lun,I'm going to kill-- Hrk! You!
2023-02-17 00:00:29,posts may repeat!!,"❄️: Hello, Otori. You seem to be skipping in high spirits. 
 🍬: Yup ♪ I won a prize with a snack I bought...Hrk!!"
