time,places,tweet
2023-03-25 12:25:48,🇮🇩,"🎟️SLOT🎟️
Jasa CO ✅

Sharing 
live+restreaming ✅✅
live only ❌⭕️ ✅✅
restreaming only ✅✅

✨ Order detail: https://t.co/hJT2pw9Igf

Tag. wts exo exoclock exo clock open sharing device beyond live tour fanmeet exo l eri kai suho sehun baekhyun chanyeol xiumin https://t.co/VQpomq1BLH"
2023-03-25 12:25:46,,wts wtb PC exo baekhyun love shot murce PC chen EXO https://t.co/XIAUy5S8Of
2023-03-25 12:25:44,,"EXO Sehun Official Baseball Jersey

✨ 2890 php
✨ Size M
✨ 7/10 condition (have dirts and small damages)
✨ no original plastic 
✨ with freebies 

link: https://t.co/T4dyzlvgfC

 #ERIVERSE_PH_ONHANDS https://t.co/r5ldcviYpM"
2023-03-25 12:25:42,,Sure https://t.co/mvfrx8sy71 https://t.co/V7Ciw5Rtzf
2023-03-25 12:25:25,,"The ballad of a dove
Go with peace and love
Gather up your tears, keep 'em in your pocket
Save 'em for a time when you're really gonna need 'em♪ 21:25 #Logan_exo"
2023-03-25 12:25:48,🇮🇩,"🎟️SLOT🎟️
Jasa CO ✅

Sharing 
live+restreaming ✅✅
live only ❌⭕️ ✅✅
restreaming only ✅✅

✨ Order detail: https://t.co/hJT2pw9Igf

Tag. wts exo exoclock exo clock open sharing device beyond live tour fanmeet exo l eri kai suho sehun baekhyun chanyeol xiumin https://t.co/VQpomq1BLH"
2023-03-25 12:25:46,,wts wtb PC exo baekhyun love shot murce PC chen EXO https://t.co/XIAUy5S8Of
2023-03-25 12:25:44,,"EXO Sehun Official Baseball Jersey

✨ 2890 php
✨ Size M
✨ 7/10 condition (have dirts and small damages)
✨ no original plastic 
✨ with freebies 

link: https://t.co/T4dyzlvgfC

 #ERIVERSE_PH_ONHANDS https://t.co/r5ldcviYpM"
2023-03-25 12:25:42,,Sure https://t.co/mvfrx8sy71 https://t.co/V7Ciw5Rtzf
2023-03-25 12:25:25,,"The ballad of a dove
Go with peace and love
Gather up your tears, keep 'em in your pocket
Save 'em for a time when you're really gonna need 'em♪ 21:25 #Logan_exo"
2023-03-25 09:52:01,,"Not me waiting for @ygtreasuremaker to greet Mashiho for his birthday like they used to🥹
#MashihoBirthday"
2023-03-25 09:51:52,🪐 kwangya |    she/her ✧,"@bmkjinerigom @weareoneEXO WELL DESERVED! CONGRATS KAI 👏🏻❤️
#KAI_Rover #Rover2ndWin
#카이 (开)
#KAI #EXO #엑소
 @weareoneEXO"
2023-03-25 09:51:46,Republic of the Philippines,"Congrats Jong In!!!

Good Job L's!!

#KAI2ndWin
#Rover2ndWin 
#KAI_ROVER
#KAI #EXO 
@weareoneEXO https://t.co/nxieVLAg8m"
2023-03-25 09:51:45,,"so fun to watch and heartwarming too! I love their chemistry and Kai teasing Mihawk is gold😄😄😄
#Rover2ndWin
https://t.co/WDy66UQtjn"
2023-03-25 09:51:37,black she/her ,"This is rich coming from the fact you like exo....

Like let's be real. Exo has done and said very problematic things with actual proof. Yet you blaming jay for the action of his friends with no proof...

I mean I like exo too, but be for real. https://t.co/khKeRyqk19"
2023-03-25 09:51:22,est. 2023 | 🇵🇭 based ,🏷 wts lfb ph kpop mailing stickers customized bns packing materials bts txt enhypen svt skz exo ateez nct astro cravity cix treasure theboyz oneus tbz &amp;team newjeans le sserafim aespa twice itzy stayc blackpink rv ive fifty fifty (g)i-dle aespa mamamoo nmixx kep1er fromis_9 pc https://t.co/vNScBdo94L
2023-03-25 09:52:01,,"Not me waiting for @ygtreasuremaker to greet Mashiho for his birthday like they used to🥹
#MashihoBirthday"
2023-03-25 09:51:52,🪐 kwangya |    she/her ✧,"@bmkjinerigom @weareoneEXO WELL DESERVED! CONGRATS KAI 👏🏻❤️
#KAI_Rover #Rover2ndWin
#카이 (开)
#KAI #EXO #엑소
 @weareoneEXO"
2023-03-25 09:51:46,Republic of the Philippines,"Congrats Jong In!!!

Good Job L's!!

#KAI2ndWin
#Rover2ndWin 
#KAI_ROVER
#KAI #EXO 
@weareoneEXO https://t.co/nxieVLAg8m"
2023-03-25 09:51:45,,"so fun to watch and heartwarming too! I love their chemistry and Kai teasing Mihawk is gold😄😄😄
#Rover2ndWin
https://t.co/WDy66UQtjn"
