2023-02-11 03:44:49,Thailand,"ผู้เสียชีวิตในเหตุแผ่นดินไหวตุรกี - ซีเรีย เกือบ 24,000 รายแล้ว

จากเหตุแผ่นดินไหวขนาด 7.8 เมื่อวันที่ 6 ก.พ.ที่ผ่านมา ยอดล่าสุดมีผู้เสียชีวิตแล้วเกือบ 24,000 ราย 

โดยทางการตุรกีระบุว่า มีผู้เสียชีวิตแล้วอย่างน้อย 23,766 ราย ในขณะที่ยอดผู้เสียชีวิตในซีเรียอย่างน้อย 3,553 ราย https://t.co/1utvyT0EOi"
2023-02-11 01:10:26,"กรุงเทพมหานคร, ประเทศไทย","น้อง""เซียร่า-ซาฮาร่า"" ถึงตุรกีแล้ว พร้อมช่วยค้นหาผู้ประสบภัยแผ่นดินไหวที่เมือง Hatay
.
https://t.co/UYK5kvBmVP
.
#แผ่นดินไหวตุรกี #PrayForTurkeyAndSyria https://t.co/HQNdwjqnQ0"
2023-02-11 01:10:01,,@TheFigen_ จะเกิดอะไรอีกหนอ  ภูเขาไฟระเบิดหรือแผ่นดินไหว
2023-02-11 01:09:38,,ชาวตุรกีกังขาตึกใหม่ที่อ้างรับมือแผ่นดินไหวได้กลับถล่ม – BBC News ไทย https://t.co/sIR0YmR4ir
2023-02-11 01:09:37,Bangkok ,"ทุกครั้งที่มีภัยพิบัติหรือเหตุการณ์ร้ายที่ต้องมีภารกิจกู้ภัยเกิดขึ้น สุนัขมักจะได้รับหน้าที่ให้ทำภารกิจเคียงข้างกับมนุษย์อยู่เสมอ

ครั้งนี้ แผ่นดินไหวครั้งร้ายแรงที่ตุรกีก็เช่นกัน 
""เซียร่า-ซาฮาร่า"" สองสุนัขกู้ภัยสัญชาติไทย ได้รับมอบหมายปฏิบัติภารกิจที่เมือง Hatay https://t.co/WNkKc15NkA"
2023-02-11 01:10:26,"กรุงเทพมหานคร, ประเทศไทย","น้อง""เซียร่า-ซาฮาร่า"" ถึงตุรกีแล้ว พร้อมช่วยค้นหาผู้ประสบภัยแผ่นดินไหวที่เมือง Hatay
.
https://t.co/UYK5kvBmVP
.
#แผ่นดินไหวตุรกี #PrayForTurkeyAndSyria https://t.co/HQNdwjqnQ0"
2023-02-11 01:10:01,,@TheFigen_ จะเกิดอะไรอีกหนอ  ภูเขาไฟระเบิดหรือแผ่นดินไหว
2023-02-11 01:09:38,,ชาวตุรกีกังขาตึกใหม่ที่อ้างรับมือแผ่นดินไหวได้กลับถล่ม – BBC News ไทย https://t.co/sIR0YmR4ir
2023-02-11 01:09:37,Bangkok ,"ทุกครั้งที่มีภัยพิบัติหรือเหตุการณ์ร้ายที่ต้องมีภารกิจกู้ภัยเกิดขึ้น สุนัขมักจะได้รับหน้าที่ให้ทำภารกิจเคียงข้างกับมนุษย์อยู่เสมอ

ครั้งนี้ แผ่นดินไหวครั้งร้ายแรงที่ตุรกีก็เช่นกัน 
""เซียร่า-ซาฮาร่า"" สองสุนัขกู้ภัยสัญชาติไทย ได้รับมอบหมายปฏิบัติภารกิจที่เมือง Hatay https://t.co/WNkKc15NkA"
2023-02-10 19:51:08,i will never shut up about txt,เห็นด้วยกับเขาทุกคำ แผ่นดินไหวที่ตุรกีเป็นเรื่องใหญ่ระดับนานาชาติแล้ว ที่ไอดอลไม่ออกมาใช้เสียงของตัวเองจะว่าเป็นเพราะไม่รู้หรืออิกนอร์ เขาในฐานะที่เป็นคนประสบภัยจะรู้สึกผิดหวังกับวงที่ตัวเองติ่งก็ไม่แปลก ยิ่งเป็นคนที่อยู่เบื้องหลังแอคที่ทุ่มเทโปรโมทวงขนาดนั้น การติ่ง=ปิดตาข้างนึง
